FRAME,plus_id,xp,yp,angp1,min_id,xm,ym,angm1,angm2,angm3,distance,mp_angle,angp1_rel,angm1_rel,angm2_rel,angm3_rel,fuse_up,p_vel_angle,p_vel_angle_rel,anglep1_rel_vel_angle,fusion,creation,mp_angl1,mp_angl2,mp_angl3,mp_phase
6,178,64.83899211677385,753.1265444808228,1.5707963267948968,306,67.54899532155639,766.6478477597366,2.387610416728243,0.3769911184307752,4.523893421169302,13.790205209868969,1.372992431271313,0.19780389552358368,1.01461798545693,5.287183994339048,3.1509009898979894,FALSE,4.549633026305643,3.8935970634283152,1.9313561763975269,FALSE,TRUE,0.8168140899333463,5.0893800988154645,2.9530970943744057,0.85870199198121
7,178,54.65488228402822,691.1071443862404,4.838052686528282,306,78.18548795054363,724.1029450880674,2.9530970943744057,1.1938052083641215,5.215043804959057,40.52668586237631,0.9513062953279939,3.8867463912002878,2.001790799046412,0.24249891303612758,4.2637375096310635,FALSE,4.595810028203274,2.1553235853971753,5.5741216701766,FALSE,TRUE,4.39822971502571,2.6389378290154264,0.3769911184307757,0.3769911184307757
3,184,660.533431284323,623.0582471684527,5.403539364174445,392,668.5108005423738,646.9903099207629,5.717698629533424,3.64424747816416,1.6964600329384885,25.226613880182338,1.24904520802776,4.154494156146685,4.468653421505664,2.3952022701363997,0.44741482491072837,TRUE,4.5149805065580955,4.17193994873161,5.922698956768175,FALSE,TRUE,0.3141592653589793,4.523893421169301,2.57610597594363,0.3769911184307748
4,184,657.8743074013493,609.7635205323988,5.215043804959057,392,673.8290466021284,646.9903099203973,3.64424747816416,5.7805304826052195,1.5079644737231008,40.50169812616841,1.1658954426800248,4.049148362279032,2.478352035484135,4.6146350399251945,0.34206903104307607,TRUE,4.467398285187847,4.068863316363255,5.864935384270772,FALSE,TRUE,4.712388980384689,0.5654866776461622,2.57610597594363,0.5235987755982983
7,184,655.2151853970086,596.4682386009058,4.71238898038469,392,681.8064156906637,694.853324852603,0.3141592653589793,2.9530970943744057,4.9637163926718735,101.91525266261228,1.30682629048739,3.4055626898973,5.290518282051176,1.6462708038870157,3.6568901021844837,TRUE,4.248731346284276,5.497799675045286,5.44001665079261,FALSE,TRUE,1.8849555921538759,4.523893421169302,0.2513274122871838,0.1256637061435919
8,184,649.8969388222916,591.1501263431117,4.209734155810322,392,668.5108005427392,700.1714376251634,5.026548245743669,2.8902652413026098,0.7539822368615504,110.59892477689814,1.401690937564622,2.8080432182457002,3.624857308179047,1.4885743037379877,5.635476606476515,TRUE,5.695194271128782,5.564367721290687,3.396034254296504,FALSE,TRUE,0.8168140899333469,4.9637163926718735,2.8274333882308147,0.774926187885483
9,184,671.169923572251,585.8320130634627,3.5185837720205684,392,655.2151853940836,721.4438892157309,1.1938052083641215,3.2044245066615886,5.592034923389832,136.5471882679098,1.6879079792859657,1.8306757927346027,5.789082536257742,1.516516527375623,3.9041269441038664,TRUE,5.332650343921339,5.290302385483638,2.7812107559928503,FALSE,TRUE,3.958406743523139,5.969026041820607,2.0734511513692637,1.9058995431778079
11,184,657.8743079141177,601.7863508643668,4.523893421169302,392,623.3057085279055,726.762000963877,5.969026041820608,4.0212385965949355,1.5079644737231008,129.66842785088292,1.840651922440072,2.68324149872923,4.128374119380536,2.1805866741548634,5.950497858462615,TRUE,4.957373495634133,5.120433046491522,4.009053310274683,FALSE,TRUE,1.4451326206513055,5.7805304826052195,3.267256359733385,1.4032447186034416
12,184,668.5108000327133,551.2642800574483,3.4557519189487724,392,617.9272701542349,734.7179952786462,1.884955592153876,3.895574890451343,0.0,190.29965613060702,1.8398402603156474,1.615911658633125,0.04511533183822869,2.055734630135696,4.443345046863939,TRUE,3.3389833789722503,4.071552729242132,4.560113586840461,FALSE,TRUE,4.71238898038469,0.43982297150257077,2.827433388230814,0.5654866776461627
6,190,679.1472926609691,242.81373887730297,4.523893421169302,176,705.7385234679413,232.17751384621715,0.0628318530717958,2.261946710584651,4.209734155810322,28.63953279544833,5.902687595505925,4.904391132842964,0.4433295647454569,2.6424444222583126,4.5902318674839835,TRUE,1.0303657777199742,1.4711251927683027,3.8740253551229893,FALSE,TRUE,1.8221237390820795,4.0212385965949355,5.969026041820606,1.843067690106012
7,190,695.1020308395022,269.40430323750616,5.340707511102649,176,719.0341386164141,232.17751435878995,0.1256637061435917,2.13628300444106,4.146902302738527,44.25584247154536,5.283737876698294,0.05696963440435532,1.1251111366248843,3.1357304349223525,5.146349733219819,TRUE,0.6434890555675079,4.7123893640680174,5.696665886016434,FALSE,TRUE,1.068141502220529,3.078760800517997,5.089380098815464,0.984365698124801
8,190,689.7837852899569,250.79090803203098,3.0159289474462017,176,716.3750150766932,242.81373989952408,2.324778563656447,0.1884955592153876,4.461061568097506,27.76200124244103,5.991735440692327,3.3073788139334606,2.616228430143706,0.4799454257026463,4.752511434584765,TRUE,5.300403225221512,5.25281962810378,4.290160895891535,FALSE,TRUE,5.592034923389832,3.455751918948772,1.4451326206513042,1.4032447186034407
9,190,700.4202774087352,261.42713459169477,0.1884955592153876,176,716.375015076876,237.49562661950904,4.2725660088821185,2.073451151369264,0.1256637061435917,28.762314369361555,5.300403126978424,1.1712777394165492,5.25534818908328,3.056233331570426,1.1084458863447537,TRUE,1.5707963507622262,1.3521221185661019,5.883666695833909,FALSE,TRUE,4.084070449666731,1.8849555921538765,6.220353454107791,1.9687313962496042
10,190,689.783784780113,272.0633596225982,5.46637121724624,176,711.0567695273304,240.15468351114077,4.335397861953914,0.1884955592153876,2.073451151369264,38.349752166620824,5.300403169927703,0.16596804731853698,5.318179999205797,1.1712776964672704,3.056233288621147,TRUE,2.498103640195157,2.158810593659854,3.9510497143029664,FALSE,TRUE,5.15221195188726,1.0053096491487334,2.89026524130261,0.9215338450530055
11,190,679.1472916390886,277.38147188313405,0.1884955592153876,176,705.7385229551728,237.4956266165841,4.335397861953914,0.1256637061435917,2.199114857512855,47.93719052606923,5.300403175086913,1.1712776913080605,5.318179994046587,1.108445838236265,3.1818969896055282,TRUE,1.8925543713982191,1.57079627200264,5.561908627089427,FALSE,TRUE,4.146902302738527,6.220353454107791,2.0106192982974678,2.0315632493213998
